Term,Mean.Error,SD
0.08333333333333333,0.01050787783650316,0.053030492041722645
0.25,0.0048507329629158885,0.026988912390980026
0.5,0.0029821087944447893,0.013727991996693134
1.0,0.002262197164714965,0.011529479139577092
2.0,0.002714774963782935,0.009643408172037822
3.0,0.003315338541326912,0.010384874274077811
5.0,0.004171386298353209,0.010858900018593952
7.0,0.004267877437558901,0.010068573571406574
10.0,0.004003330761631295,0.010072804737992758
20.0,0.003642759456847219,0.0078101745197163945
30.0,0.003539344636646095,0.007724624711195433
