"beta_0","beta_1","beta_2","lambda","Date"
4.52444112066854,-0.117418344354669,0.648635226145829,0.999951699325077,2006-02-09
4.56782022298589,-0.136049027981251,0.659024841824223,0.999951699325077,2006-02-10
4.57015788786373,-0.109634865495478,0.577900947349853,0.999951699325077,2006-02-13
4.6181377193365,-0.132064908707603,0.484540894372745,0.999951699325077,2006-02-14
4.59474311607943,-0.137550944454984,0.587609065391543,0.999951699325077,2006-02-15
4.58373476790014,-0.13069981837504,0.569661315698346,0.999951699325077,2006-02-16
4.52138055684363,-0.0630879944880324,0.599060842143384,0.999951699325077,2006-02-17
4.53601129356668,-0.0590268496352175,0.713143066496563,0.999951699325077,2006-02-21
4.50003746466313,-0.0118112960179544,0.660174045982909,0.999951699325077,2006-02-22
4.52243753368496,-0.0338383577250159,0.775993867960288,0.999951699325077,2006-02-23
4.53823006093293,-0.0421254186102419,0.760363663343232,0.999951699325077,2006-02-24
4.56345728954414,-0.0316803441903542,0.697594718864844,0.999951699325077,2006-02-27
4.52523190734952,0.0093014834704141,0.622514025682374,0.999951699325077,2006-02-28
4.56864551869466,-0.0509676974323731,0.614077140724978,0.999951699325077,2006-03-01
4.63871950896901,-0.115690029537232,0.537982389593407,0.999951699325077,2006-03-02
4.67840383908184,-0.163051638732526,0.560939206487913,0.999951699325077,2006-03-03
4.74780487499925,-0.240661258942152,0.51229709126632,0.999951699325077,2006-03-06
4.75160631631809,-0.230416390036047,0.495362293654862,0.999951699325077,2006-03-07
4.75327402782492,-0.239442353492413,0.419126903339617,0.999951699325077,2006-03-08
4.75532580042849,-0.238626631909488,0.415374395824539,0.999951699325077,2006-03-09
4.77684443193804,-0.244303756375236,0.414808396478518,0.999951699325077,2006-03-10
4.79334344416905,-0.257466895429181,0.437688902237628,0.999951699325077,2006-03-13
4.73659132928772,-0.162578414685471,0.194574968362983,0.999951699325077,2006-03-14
4.44889876212105,0.20452394864233,0.864933694222497,0.0597753114206746,2006-03-15
4.85163717916277,-0.209197681557752,-0.342850016979959,0.234776374733519,2006-03-16
4.87253589477561,-0.215967888511512,-0.315943665141461,0.234776374733519,2006-03-17
4.85301696246239,-0.164113678507709,-0.424401333351565,0.266413420154203,2006-03-20
4.87366407267789,-0.12943763830889,-0.318566934855959,0.254940919178966,2006-03-21
4.85451322795877,-0.115100679492584,-0.247935249119741,0.244439438557852,2006-03-22
4.64389138033641,0.0767580406119199,0.418871792515712,0.0597753114206746,2006-03-23
4.82654201740608,-0.110092303754795,-0.285431541070508,0.244439438557852,2006-03-24
4.85478353301652,-0.14191962564718,-0.233045694642953,0.254940919178966,2006-03-27
4.41051589408803,0.328788828642216,0.951382953049009,0.0597753114206746,2006-03-28
4.4552578996746,0.277012299097365,1.02220511327288,0.0597753114206746,2006-03-29
4.92048276326657,-0.254734340429524,0.0900435500808219,0.999951699325077,2006-03-30
4.25560339690975,0.45661818896833,1.58798146994662,0.0597753114206746,2006-03-31
4.9333207661431,-0.248746044230312,0.114945113589404,0.999951699325077,2006-04-03
4.38451113900367,0.352103535003358,1.37437622018338,0.0597753114206746,2006-04-04
4.57395687732122,0.141896430770973,1.04542369305924,0.0597753114206746,2006-04-05
4.44889810262357,0.286950167457303,1.42772898487189,0.0597753114206746,2006-04-06
4.24663894347198,0.495342285293038,2.018528051057,0.0597753114206746,2006-04-07
4.32583977482002,0.429883184532511,1.87209114165304,0.0597753114206746,2006-04-10
4.46642649159142,0.286155147054958,1.5032717002757,0.0597753114206746,2006-04-11
4.27515672750374,0.488909917408106,1.97542386746185,0.0597753114206746,2006-04-12
5.11662648357896,-0.482057984513969,0.21800388723833,0.999951699325077,2006-04-13
5.08775130989037,-0.42469956668892,0.08478195172927,0.999951699325077,2006-04-17
4.35860009169923,0.368148773315427,1.96230302098725,0.0597753114206746,2006-04-18
4.28092198485354,0.447417768527301,2.29645975045952,0.0597753114206746,2006-04-19
4.28716213485268,0.452097460257822,2.28679452273881,0.0597753114206746,2006-04-20
4.34635346520889,0.410629470459587,2.01839056478959,0.0597753114206746,2006-04-21
4.41591256328256,0.351589078659373,1.78125158658472,0.0597753114206746,2006-04-24
4.32252756839887,0.482658314091956,2.18069576087028,0.0597753114206746,2006-04-25
4.06000420772429,0.764120862471183,2.67111629068228,0.0597753114206746,2006-04-26
4.45833277882543,0.327832878338981,2.04804083474923,0.0597753114206746,2006-04-27
4.51534361149265,0.240328685965735,1.97254676461945,0.0597753114206746,2006-04-28
4.39532863613186,0.411556261400655,2.30009829599334,0.0597753114206746,2006-05-01
4.45392036505611,0.359819405355257,2.08917349383219,0.0597753114206746,2006-05-02
4.41438360223154,0.408990986117574,2.26352841069719,0.0597753114206746,2006-05-03
4.09511791424193,0.724889253517313,2.78140976974246,0.0597753114206746,2006-05-04
4.39072013722997,0.428567394919704,2.18245136035758,0.0597753114206746,2006-05-05
4.39614259231134,0.459185638131329,2.07542629160557,0.0597753114206746,2006-05-08
4.59778750399486,0.277513452818158,1.73913968361424,0.0597753114206746,2006-05-09
4.39201737624355,0.485526056862153,2.04408759807895,0.0597753114206746,2006-05-10
4.20817913768293,0.624601691961336,2.56385636903403,0.0597753114206746,2006-05-11
4.13899410113712,0.702867081947551,2.87077171978232,0.0597753114206746,2006-05-12
4.50588697030701,0.354727098335002,2.11765654225849,0.0597753114206746,2006-05-15
4.83967857121609,0.0202260231765675,1.41043630886562,0.0597753114206746,2006-05-16
4.65310270531487,0.205004336485279,1.93475571147166,0.0597753114206746,2006-05-17
